"Question" "Survey_Questions"
"UNID3" "Unique ID Wave 3"
"StartDate" "Start Date"
"EndDate" "End Date"
"Status" "Response Type"
"IPAddress" "IP Address"
"Progress" "Progress"
"Duration__in_seconds_" "Duration (in seconds)"
"Finished" "Finished"
"RecordedDate" "Recorded Date"
"ResponseId" "Response ID"
"RecipientLastName" "Recipient Last Name"
"RecipientFirstName" "Recipient First Name"
"RecipientEmail" "Recipient Email"
"ExternalReference" "External Data Reference"
"LocationLatitude" "Location Latitude"
"LocationLongitude" "Location Longitude"
"DistributionChannel" "Distribution Channel"
"UserLanguage" "User Language"
"Q2_1" "Heb je één van onze vorige ‘grote Corona-studies’ ingevuld (meerdere antwoorden mogelijk)? Ja, de eerste op dinsdag 17 maart"
"Q2_2" "Heb je één van onze vorige ‘grote Corona-studies’ ingevuld (meerdere antwoorden mogelijk)? Ja, de tweede op dinsdag 24 maart"
"Q2_3" "Heb je één van onze vorige ‘grote Corona-studies’ ingevuld (meerdere antwoorden mogelijk)? Neen"
"Q3" "Wat is je leeftijd (in jaren)"
"Q4" "Met welk geslacht identificeer je je?"
"Q5" "Waar woon je in België (postcode)?"
"Q68" "Verblijf je momenteel in België?"
"Q6" "Wat is de hoogste opleidingsgraad die je hebt behaald? (ben je nog een student, geef dan het diploma aan waarvoor je studeert)"
"Q7" "Woon je alleen of heb je huisgenoten?"
"Q64" "Hoeveel huisgenoten ouder dan 70 jaar heb je?"
"Q65" "Hoeveel huisgenoten tussen 18 en 70 jaar heb je?"
"Q66" "Hoeveel huisgenoten tussen 12 en jonger dan 18 jaar heb je?"
"Q67" "Hoeveel huisgenoten jonger dan 12 jaar heb je?"
"Q9" "Hoeveel mensen met uitzondering van je huisgenoten heb je gisteren gesproken
in het echt (dus niet via telefoon, facetime, whatsapp, skype, ...)?"
"Q10" "Wanneer heb je na 24 maart het laatste een hand of zoen gegeven aan iemand anders dan een huisgenoot?"
"Q62" "Hoeveel mensen heb je gisteren gesproken
in het echt (dus niet via telefoon, facetime, whatsapp, skype enzo):"
"Q63" "Wanneer heb je na 24 maart het laatste een hand of zoen gegeven aan iemand?"
"Q11" "Wat was je arbeidssituatie voor de COVID-19 crisis (13 maart 2020)?"
"Q69" "Is je arbeidssituatie momenteel (dus na 13 maart) gewijzigd?"
"Q15_1" "Welke omschrijving(en) sluit(en) het beste aan bij het soort werk of activiteit dat je doet? (meerdere antwoorden zijn mogelijk) - Selected Choice student leerplichtonderwijs (KO/LO/SO) of hoger onderwijs"
"Q15_2" "Welke omschrijving(en) sluit(en) het beste aan bij het soort werk of activiteit dat je doet? (meerdere antwoorden zijn mogelijk) - Selected Choice arbeider"
"Q15_3" "Welke omschrijving(en) sluit(en) het beste aan bij het soort werk of activiteit dat je doet? (meerdere antwoorden zijn mogelijk) - Selected Choice bediende"
